state,county,DemRepRatio
georgia,crisp,0.374513984698357
georgia,evans,0.314339981006648
michigan,cass,0.475513213111036
indiana,wabash,0.228233151183971
indiana,fulton,0.703281181901467
,orange,0.626646682863217
indiana,marshall,0.191784766957182
indiana,cass,0.475513213111036
massachusetts,nantucket,0.732494758909853
indiana,wells,0.189293361884368
indiana,miami,0.274625661885894
ohio,mercer,0.218127381600436
ohio,henry,0.485492029030163
indiana,delaware,0.433723072562358
new york,essex,0.646268785214804
ohio,seneca,0.326049226885453
indiana,tipton,0.254097446761065
,somerset,0.424949899799599
ohio,van wert,0.208398450771217
indiana,pulaski,0.575706029646378
indiana,boone,0.330716317055978
indiana,clinton,0.235749833256375
,hancock,0.321585496436879
indiana,hancock,0.321585496436879
indiana,newton,0.529897157945938
indiana,jackson,0.299306103227782
indiana,montgomery,0.661548508508044
indiana,clay,0.293118418561534
illinois,livingston,0.171268329441993
indiana,benton,0.370744599563111
illinois,iroquois,0.21095393543707
illinois,edgar,0.233539603960396
indiana,putnam,0.267147074144817
new jersey,cumberland,0.504658832570203
illinois,kankakee,0.415363809601869
pennsylvania,columbia,0.371892459890307
pennsylvania,union,0.332254391743043
illinois,ford,0.257865333725376
indiana,carroll,0.322907432602193
illinois,douglas,0.54360916461977
indiana,morgan,0.254801816393247
maryland,calvert,0.471220244925208
maryland,caroline,0.406490070447228
illinois,moultrie,0.25083006338666
illinois,kendall,0.529332907756144
new york,madison,0.414480266994313
new york,lewis,0.310771030314845
new york,livingston,0.171268329441993
new york,schuyler,0.278052590471231
new york,orleans,0.84721346795173
new york,allegany,0.304819597923046
pennsylvania,clinton,0.235749833256375
illinois,menard,0.297966401414677
pennsylvania,warren,0.353587429863496
ohio,ashtabula,0.380229100882753
pennsylvania,jefferson,0.486252586841484
ohio,trumbull,0.446471372840051
louisiana,pointe coupee,0.384293451501723
illinois,grundy,0.332320986881242
pennsylvania,beaver,0.104990403071017
ohio,columbiana,0.272160537842518
illinois,stephenson,0.419679273266592
ohio,carroll,0.322907432602193
pennsylvania,fayette,0.371022299171195
alabama,monroe,0.355735505445035
ohio,harrison,0.233862433862433
ohio,holmes,0.133890061484813
,taylor,0.263540590787027
pennsylvania,bedford,0.249748434285028
maryland,allegany,0.304819597923046
ohio,washington,0.330211272748381
,wood,0.438891328108214
,barbour,0.461391071086415
colorado,garfield,0.217902317077721
,randolph,0.225881718630895
maryland,washington,0.330211272748381
pennsylvania,fulton,0.703281181901467
ohio,perry,0.3090978205778
ohio,athens,0.576265896855738
ohio,meigs,0.214948105385986
virginia,shenandoah,0.2934031503498
virginia,warren,0.353587429863496
virginia,page,0.243442357512952
pennsylvania,perry,0.3090978205778
illinois,bureau,0.390456674473068
maryland,dorchester,0.438960373855707
virginia,new kent,0.324235195060342
virginia,king william,0.30812854442344
virginia,orange,0.626646682863217
virginia,goochland,0.401477388745421
virginia,greene,0.351351665939182
virginia,madison,0.414480266994313
virginia,caroline,0.406490070447228
virginia,buckingham,0.433063006862134
virginia,york,0.466274654572302
virginia,suffolk,0.821918057939752
ohio,jefferson,0.486252586841484
virginia,james city,0.524637621648257
virginia,powhatan,0.27458064516129
maryland,worcester,0.578699121099589
virginia,appomattox,0.265131578947368
virginia,prince edward,0.528648878494738
